"id","list_price","list_price_2","selling_price","quantity","bonus_coefficient","discount_coefficient","minimum_quantity","maximum_quantity","stock_available","timestamp","offer_id","product_id","suboffer_id"
1,1000.00,0.00,0.00,0,1.00,1.00,1,70,999,2024-02-11 11:16:01.707 -0300,1,113,1
2,2000.00,0.00,0.00,0,1.00,1.00,1,70,999,2024-02-11 11:16:01.714 -0300,1,114,1
3,2000.00,0.00,0.00,0,1.00,1.00,3,80,2997,2024-02-11 11:16:01.725 -0300,1,114,2
559,3256.62,0.00,0.00,0,0.00,0.00,0,99999999,1000,2025-09-09 10:40:28.392 -0300,101,299,168
206,3427.00,0.00,0.00,0,1.00,1.00,0,1000,10000,2024-08-09 16:32:07.936 -0300,32,423,41
9,5303.00,0.00,0.00,0,1.00,1.00,0,100000000,10000000,2024-05-28 17:29:47.914 -0300,3,72,5
207,3808.00,0.00,0.00,0,1.00,1.00,0,1000,10000,2024-08-09 16:32:07.942 -0300,32,422,41
208,4283.00,0.00,0.00,0,1.00,1.00,0,1000,10000,2024-08-09 16:32:07.946 -0300,32,425,41
209,5140.00,0.00,0.00,0,1.00,1.00,0,1000,10000,2024-08-09 16:32:07.950 -0300,32,426,41
10,5950.00,0.00,0.00,0,1.00,1.00,0,100000000,10000000,2024-05-28 17:29:47.919 -0300,3,71,5
11,7999.00,0.00,0.00,0,1.00,1.00,0,100000000,10000000,2024-05-28 17:29:47.922 -0300,3,73,5
12,4443.00,0.00,0.00,0,1.00,1.00,0,100000000,10000000,2024-05-28 17:29:47.926 -0300,3,70,5
13,9972.00,0.00,0.00,0,1.00,1.00,0,100000000,10000000,2024-05-28 17:29:47.929 -0300,3,74,5
14,4184.00,0.00,0.00,0,1.00,1.00,0,1000000000,100000,2024-05-28 17:31:15.243 -0300,3,76,6
15,4605.00,0.00,0.00,0,1.00,1.00,0,1000000000,100000,2024-05-28 17:31:15.248 -0300,3,79,6
60,51808.00,0.00,0.00,0,1.00,1.00,0,1000,9997,2024-11-05 11:55:57.394 -0300,17,78,21
80,13111.60,0.00,0.00,0,1.00,1.00,0,200,971,2024-09-10 19:57:43.069 -0300,22,555,27
70,10647.90,0.00,0.00,0,1.00,1.00,0,1000,995,2024-09-09 08:50:18.901 -0300,20,345,24
22,10084.00,0.00,0.00,0,1.00,1.00,0,0,100000,2024-05-29 12:48:54.918 -0300,4,69,7
20,6923.00,0.00,0.00,0,1.00,1.00,0,0,100000,2024-05-29 12:48:54.926 -0300,4,68,7
18,5466.00,0.00,0.00,0,1.00,1.00,0,0,100000,2024-05-29 12:48:54.932 -0300,4,67,7
16,4324.00,0.00,0.00,0,1.00,1.00,0,0,100000,2024-05-29 12:48:54.937 -0300,4,66,7
23,26411.00,0.00,0.00,0,1.00,1.00,0,9999999,100009,2024-05-29 12:57:13.700 -0300,4,75,8
24,32879.00,0.00,0.00,0,1.00,1.00,0,9999999,100009,2024-05-29 12:57:13.706 -0300,4,77,8
25,44009.00,0.00,0.00,0,1.00,1.00,0,9999999,100009,2024-05-29 12:57:13.712 -0300,4,78,8
27,21932.50,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 13:32:23.261 -0300,5,167,9
26,16735.90,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 13:32:23.265 -0300,5,168,9
28,18805.00,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 13:36:22.336 -0300,6,170,10
29,27659.60,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 13:39:04.442 -0300,7,117,11
30,29158.90,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 13:39:04.452 -0300,7,118,11
31,40843.10,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 13:39:04.461 -0300,7,119,11
32,48929.00,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 13:39:04.469 -0300,7,120,11
33,59372.40,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 13:39:04.477 -0300,7,121,11
34,4005.96,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 13:45:10.660 -0300,8,188,12
35,4882.82,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 13:45:10.666 -0300,8,191,12
36,4353.86,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 13:45:10.671 -0300,8,189,12
37,6591.82,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 13:45:10.676 -0300,8,192,12
38,8273.55,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 13:45:10.680 -0300,8,193,12
40,22570.00,0.00,0.00,0,1.00,1.00,0,200,1000,2024-07-15 13:55:57.750 -0300,10,450,14
41,23185.00,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 14:01:03.604 -0300,11,488,15
42,20225.00,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 14:01:03.611 -0300,11,487,15
44,1937.00,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 14:05:43.583 -0300,13,429,17
45,2466.00,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 14:05:43.589 -0300,13,434,17
601,0.00,0.00,0.00,0,0.00,0.00,0,99999999,99999999,2025-10-09 10:55:02.164 -0300,106,936,187
63,4926.00,0.00,0.00,0,1.00,1.00,0,1000,860,2024-11-12 10:48:22.928 -0300,19,76,23
67,9417.00,0.00,0.00,0,1.00,1.00,0,1000,1000,2024-11-05 15:11:12.940 -0300,19,73,23
65,6242.00,0.00,0.00,0,1.00,1.00,0,1000,905,2024-11-12 10:48:22.935 -0300,19,72,23
81,15359.30,0.00,0.00,0,1.00,1.00,0,200,973,2024-09-10 19:57:43.075 -0300,22,552,27
77,9178.13,0.00,0.00,0,1.00,1.00,0,200,998,2024-09-05 15:55:05.106 -0300,22,551,27
82,17981.70,0.00,0.00,0,1.00,1.00,0,200,993,2024-09-10 19:57:43.080 -0300,22,553,27
72,11000.00,0.00,0.00,0,1.00,1.00,0,1000,9975,2024-09-06 12:37:23.674 -0300,21,339,26
73,12500.00,0.00,0.00,0,1.00,1.00,0,1000,9995,2024-09-06 12:37:23.680 -0300,21,338,26
74,13500.00,0.00,0.00,0,1.00,1.00,0,1000,9995,2024-09-06 12:37:23.684 -0300,21,340,26
75,17000.00,0.00,0.00,0,1.00,1.00,0,1000,9997,2024-09-06 12:37:23.688 -0300,21,341,26
370,25838.00,0.00,0.00,0,1.00,1.00,0,99999999,999999,2025-02-05 10:47:31.338 -0300,59,440,106
267,8601.42,0.00,0.00,0,1.00,1.00,0,99999999,9724,2024-12-07 12:51:14.971 -0300,48,566,62
61,22570.00,0.00,0.00,0,1.00,1.00,0,100,1000,2024-07-17 11:09:31.367 -0300,18,440,22
62,22570.00,0.00,0.00,0,1.00,1.00,0,100,1000,2024-07-17 11:09:31.372 -0300,18,450,22
311,6895.20,0.00,0.00,0,1.00,1.00,0,99999999,1000,2024-12-11 14:03:43.988 -0300,55,619,77
43,22627.00,0.00,0.00,0,1.00,1.00,0,1000,10000,2024-07-23 18:24:23.002 -0300,12,467,16
78,9927.37,0.00,0.00,0,1.00,1.00,0,200,991,2024-09-09 11:44:04.742 -0300,22,548,27
54,5090.00,0.00,0.00,0,1.00,1.00,0,1000,9940,2024-11-04 13:05:56.848 -0300,16,66,20
55,6434.00,0.00,0.00,0,1.00,1.00,0,1000,9998,2024-11-04 13:05:56.855 -0300,16,67,20
71,14228.60,0.00,0.00,0,1.00,1.00,0,1000,1000,2024-07-17 16:44:36.518 -0300,20,336,25
39,38923.00,0.00,0.00,0,1.00,1.00,2,1000,1000,2024-07-23 18:45:06.973 -0300,9,399,13
56,8150.00,0.00,0.00,0,1.00,1.00,0,1000,9998,2024-11-04 13:05:56.858 -0300,16,68,20
57,11871.00,0.00,0.00,0,1.00,1.00,0,1000,9998,2024-11-04 13:05:56.861 -0300,16,69,20
59,38705.00,0.00,0.00,0,1.00,1.00,0,1000,9996,2024-11-05 11:55:57.389 -0300,17,77,21
