"id","title","date","image","list_price","list_price_2","selling_price","description","active_ingredient","therapeutic_action","distributor_product_id","supplier_product_id","timestamp","category_id","enterprise_supplier_product_id","status"
547,APOQUEL 16 MG X 20 COMP.,2024-05-12,products/dfv/reduced/prod_283552_red.jpg,0.00,0.00,0.00,Desc. APOQUEL 16 MG X 20 COMP.,Oclacitinib,Tratamiento del prurito relacionado con dermatitis alérgica en perros y manifestaciones clínicas de la dermatitis atópica en perros. ,"283552","",2025-12-26 01:02:42.240 -0300,2,20,1
834,K-OTHRINA X 250 ML.,2025-07-12,enterprises/Logo_elanco.jpg,0.00,0.00,0.00,Desc. K-OTHRINA X 250 ML.,"","","109125","",2025-12-26 01:00:06.153 -0300,2,1598,0
411,"SINCELAR I. AMP. X 1,5 ML.",2024-05-12,products/dfv/reduced/prod_262058_red.jpg,0.00,0.00,0.00,"Desc. SINCELAR I. AMP. X 1,5 ML.",Medroxiprogesterona Acetato 5 %.,Anticonceptivo inyectable,"262058","",2025-12-26 01:02:20.428 -0300,2,19,1
270,"",2024-05-08,"",0.00,0.00,0.00,Desc. ,"","","99825632","",2024-05-09 01:00:54.772 -0300,,3,0
454,DUOSECRETINA X 10 COMP PREMIUM,2024-05-12,products/dfv/reduced/prod_262159_red.jpg,0.00,0.00,0.00,Desc. DUOSECRETINA X 10 COMP PREMIUM,"Membutona 70 mg, ácido tióctico 5 mg.","Colagogo, colerético, hipersecretor pancreático y biliar.","262159","",2025-12-26 01:02:27.479 -0300,2,19,1
1092,OSS. SH. PULGUICIDA GATOS X 1 LITRO,2025-10-26,products/dfv/reduced/prod_270280_red.jpg,0.00,0.00,0.00,Desc. OSS. SH. PULGUICIDA GATOS X 1 LITRO," Base de lavado suave, reguladores de ph, Cipermetrina 0,15% y D-Limoneno.","Control de pulgas, piojos y garrapatas.","270280","",2025-12-26 01:02:37.205 -0300,5,1714,1
1157,OSS. LA PIPETA  GATOS H/4 KG,2025-10-26,enterprises/Osspret-logo_IFJyAFN.jpg,0.00,0.00,0.00,Desc. OSS. LA PIPETA  GATOS H/4 KG,"Pipeta de 0,5 ml, para gatos de hasta 4kg de peso (Amarillo); Pipeta de 1 ml, para gatos de 4 kg a 8 kg de peso (Rosa).",Indicado en el tratamiento y control de infestaciones de pulgas en gatos.,"270717","",2025-12-26 01:01:13.819 -0300,4,1714,1
1018,APOQUEL MASTICABLE 16 MG X 20 COMP.,2025-09-24,products/dfv/reduced/prod_283602_red.jpg,0.00,0.00,0.00,Desc. APOQUEL MASTICABLE 16 MG X 20 COMP.,Oclacitinib (como maleato de oclacitinib),Inhibidor selectivo de JAK1 que reduce el prurito y la inflamación en perros con dermatitis alérgica / atópica,"283602","",2025-12-26 01:02:42.668 -0300,1,20,1
1014,OMEGA X 80 GR,2025-09-02,enterprises/Integhra-Logo-John_Martin.jpg,0.00,0.00,0.00,Desc. OMEGA X 80 GR,"","","1601123","",2025-12-26 01:00:31.769 -0300,1,18,1
927,COMFORTIS H/ 4 KG 140MG  X 1 TABL,2025-07-12,products/dfv/prod_81001_integhra.jpg,0.00,0.00,0.00,Desc. COMFORTIS H/ 4 KG 140MG  X 1 TABL,Spinosad ,En caninos para la prevención y tratamiento de infestaciones de pulgas (Ctenocephalides felis).,"81001","",2025-12-26 01:03:06.732 -0300,4,1598,0
