ID,ID LAB,PR LISTA,PRODUCTO,PRINCIPIO ACTIVO,ACCION TERAPEUTICA,DESCRIPCION ADICIONAL,Link institucional,BASE,ALTURA,PROFUNDIDAD,PESO,PACK,CAJA MADRE,CATEGORIA,SEGMENTO,SEGMENTO SECUNDARIO,CONCEPTO,LABORATORIO,CODIGO DE BARRAS,C3 REPO,BM REPO,DTO REPO,FECHA DESDE REPO,FECHA HASTA REPO,Principio Activo,Acción Terapeutica,CONCEPTO (NUEVO O DIFERENTE),ESPECIE,Sintomas,Diagnostico,Dosificación,Observaciónes,Contra indicaciones / Precauciones,Modo de usos,Tiempo de Duración,DISCONTINUADO
335656,,"$24,260.00",AMOX PLUS 100 MG. X 50 COMP,Amoxicilina trihidrato 100 mg y Clavulanato de potasio 25 mg,Antibiótico de amplio espectro,,https://www.afford.com.ar/amox-plus-100mg/,10,7.5,4.4,48,0,0,CLINICO,ANTIBIOTICO,,COMPRIMIDO,AFFORD S.A.,1.13E+12,3,0,0,,,Amoxicilina trihidrato 100 mg y Clavulanato de potasio 25 mg,Antibiótico de amplio espectro,Comprimido,"Perro,Gato","Para el tratamiento de enfermedades infectocontagiosas producidas por gérmenes Gram positivos y Gram negativos sensibles a su espectro.
Infecciones gastrointestinales, respiratorias, genitourinarias, otitis, infecciones cavitarias, de piel y tejidos blandos.",,"Caninos: 12,50 mg/kpv. (1 comprimido cada 8 kg. de peso vivo)
Felinos: 12,5 mg/kpv. (1/2 de comprimido cada 4 kg. de peso vivo)",,"Alérgicos. 

Efectos colaterales: Puede producir trastornos gastrointestinales.",Vía Oral,Repetir cada 8 a 12 horas. Tratamiento normal: 7 días; hasta remisión de los síntomas o mejor criterio médico veterinario.,
335657,,"$43,750.00",AMOX PLUS 250 MG. X 100 COMP,"Amoxicilina trihidrato 250 mg y Clavulanato de potasio 62,5 mg.",Antibiótico de amplio espectro,,https://www.afford.com.ar/amox-plus-250mg/,13,8.5,51,130,0,0,CLINICO,ANTIBIOTICO,,COMPRIMIDO,AFFORD S.A.,1.13E+12,3,0,0,,,"Amoxicilina trihidrato 250 mg y Clavulanato de potasio 62,5 mg.",Antibiótico de amplio espectro,Comprimido,"Perro,Gato","Para el tratamiento de enfermedades infectocontagiosas producidas por gérmenes Gram positivos y Gram negativos sensibles a su espectro.
Infecciones gastrointestinales, respiratorias, genitourinarias, otitis, infecciones cavitarias, de piel y tejidos blandos.",,"Caninos: 12,50 mg/kpv. (1 comprimido cada 20 kg. de peso vivo).
Felinos: 12,5 mg/kpv. (1/4 de comprimido cada 5 kg. de peso vivo)",,"Alérgicos. 

Efectos colaterales: Puede producir trastornos gastrointestinales.",Vía Oral,"Repetir cada 8 a 12 horas. Tratamiento normal: 7 días; hasta remisión de los síntomas o mejor criterio médico veterinario.

",
335658,,"$36,530.00",AMOX PLUS 500 MG. X 50 COMP,Amoxicilina trihidrato 500 mg y Clavulanato de potasio 125 mg.,Antibiótico de amplio espectro,,https://www.afford.com.ar/amox-plus-500mg/,0,0,0,0,0,0,CLINICO,ANTIBIOTICO,,COMPRIMIDO,AFFORD S.A.,0,3,0,0,,,Amoxicilina trihidrato 500 mg y Clavulanato de potasio 125 mg.,Antibiótico de amplio espectro,Comprimido,Perro,"Para el tratamiento de enfermedades infectocontagiosas producidas por gérmenes Gram positivos y Gram negativos sensibles a su espectro.
Infecciones gastrointestinales, respiratorias, genitourinarias, otitis, infecciones cavitarias, de piel y tejidos blandos.",,"Caninos: 12,50  mg/kpv. ( 1 comprimido cada 40 kg. de peso vivo).",,"Alérgicos. 

Efectos colaterales: Puede producir trastornos gastrointestinales.",Vía Oral,cada 8 a 12 horas. Tratamiento normal: 7 días; hasta remisión de los síntomas o mejor criterio médico veterinario.,
335153,,"$37,610.00",APTO 3 D X 100 COMP,,Antiparasitario interno de amplio espectro,,https://www.afford.com.ar/apto-3d/,8.5,22.7,6.5,162,0,24,ANTIPARASITARIO INTERNO,,,COMPRIMIDO,AFFORD S.A.,1.17E+12,2,0,0,,,Pirantel Pamoato: 123mg; Oxantel Pamoato: 400mg; Prazicuantel: 50mg.,Antiparasitario interno de amplio espectro,Comprimido,Perro,"Por la combinación de las drogas APTO 3D es específico para el tratamiento de las parasitosis intestinales causadas por Nematodes y Cestodes en sus formas adultas y juveniles: Toxocara canis, Toxascaris leonina, Uncinaria sp., Taenia pisiformis, Taenia hydatigena, Taenia teniformis, Dipylidium caninum, Echinococcus granulosus y Trichuris vulpis.",,1 comp. cada 10kg de peso vivo.,,,Vía Oral,,
335150,,"$4,880.00",APTO 3 D X 4 COMP,"Pirantel pamoato 123 mg, Oxantel pamoato 400mg, Prazicuantel 50mg",Antiparasitario interno de amplio espectro para caninos.,,https://www.afford.com.ar/apto-3d/,0,0,0,0,0,0,ANTIPARASITARIO INTERNO,,,COMPRIMIDO,AFFORD S.A.,0,2,0,0,,,"Pirantel pamoato 123 mg, Oxantel pamoato 400mg, Prazicuantel 50mg",Antiparasitario interno de amplio espectro para caninos.,Comprimido,Perro,"Por la combinación de las drogas APTO 3D es específico para el tratamiento de las parasitosis intestinales causadas por Nematodes y Cestodes en sus formas adultas y juveniles: Toxocara canis, Toxascaris leonina, Uncinaria sp., Taenia pisiformis, Taenia hydatigena, Taenia teniformis, Dipylidium caninum, Echinococcus granulosus y Trichuris vulpis.",,2 comp. cada 10kg de peso vivo.,,,Vía Oral,,
335098,,"$4,975.00",APTO MAX HASTA 40 KG.,Ricobendazole 200 mg. Praziquantel 50 mg.,Antiparasitario interno de amplio espectro.,,https://www.afford.com.ar/aptomax/,0,0,0,0,0,0,ANTIPARASITARIO INTERNO,,,COMPRIMIDO,AFFORD S.A.,0,3,0,0,,,Ricobendazole 200 mg. Praziquantel 50 mg.,Antiparasitario interno de amplio espectro.,Comprimido,Perro,"Único Antiparasitario con Metabolito Activo: Ricobendazole
Ovicida, Larvicida y Adulticida",,1 comprimido cada 10 kpv.,,,Vía Oral,"Una sola toma!!!, no se repite a los 15 días",
335096,,"$3,400.00",APTO MAX SOLUCION X 15 ML.,Ricobendazole 3 g.,Antiparasitario interno de amplio espectro.,,https://www.afford.com.ar/aptomax-solucion/,0,0,0,0,0,0,ANTIPARASITARIO INTERNO,,,GOTAS,AFFORD S.A.,0,3,0,0,,,Ricobendazole 3 g.,Antiparasitario interno de amplio espectro.,Suspensión ,"Perro,Gato","Para el tratamiento y control de las parasitosis producidas por Ancylostoma caninum, Toxacara canis, Toxacara cati y Toxacaris leonina. Uncinaria stenocephala y trichuris vulpis.",,Via oral. 1 ml. por kpv.,En animales con infestaciones severas repetir a las 24 hs.,,Vía Oral,"Una sola toma!!!, no se repite a los 15 días",
335040,,"$48,870.00",APTO PLUS X 160 COMP.,Albendazole 300 mg. Praziquantel 25 mg.,Antiparasitario interno de amplio espectro.,,http://www.afford.com.ar/productos.php?act=pr#,8.7,25,4,176,0,30,ANTIPARASITARIO INTERNO,,,COMPRIMIDO,AFFORD S.A.,1.17E+12,1,0,0,,,,,,,,,,,,,,
335055,,"$3,887.00",APTO POLVO X 150 GR.,Carbarilo 5 g. Esencias aromatiz. 1 g.,Antiparasitario externo,,https://www.afford.com.ar/apto-polvo/,0,14.5,5,174,0,60,ANTIPARASITARIO EXTERNO,,,POLVO,AFFORD S.A.,1.17E+12,10,0,0,,,Carbarilo 5 g. Esencias aromatiz. 1 g.,Antiparasitario externo,Polvo,"Perro,Gato","Para el tratamiento de las ectoparasitosis de los pequeños animales, combate Garrapatas, pulgas y Piojos.",,"Espolvorear en cantidad suficiente sobre el pelaje del animal frotando a contrapelo, procurando que el polvo tome contacto con la piel, repetir a los 10 días.","Las reinfestaciones se evitan espolvoreando las cuchas, mantas y camas.",,USO EXTERNO.,,
335045,,"$16,680.00",APTO X 40 COMP.,Albendazole 300 mg. Praziquantel 25 mg.,Antiparasitario interno de amplio espectro.,,http://www.afford.com.ar/productos.php?act=pr#,0,0,0,0,0,0,ANTIPARASITARIO INTERNO,,,COMPRIMIDO,AFFORD S.A.,0,2,0,0,,,,,,,,,,,,,,
